Pos Model Codename "L2 Cache + L3 Cache" "TDP Watt" "MHz - Turbo" "Cores / Threads" "Perf. Rating" "Cinebench R15 CPU Single 64Bit" "Cinebench R15 CPU Multi 64Bit" "Cinebench R23 Single Core" "Cinebench R23 Multi Core" x265 Blender(-) "7-Zip Single" 7-Zip "Geekbench 5.5 Single-Core" "Geekbench 5.5 Multi-Core" "WebXPRT 3"
Pos Model Codename "L2 Cache + L3 Cache" "TDP Watt" "MHz - Turbo" "Cores / Threads" "Perf. Rating" "Cinebench R15 CPU Single 64Bit" "Cinebench R15 CPU Multi 64Bit" "Cinebench R23 Single Core" "Cinebench R23 Multi Core" x265 Blender(-) "7-Zip Single" 7-Zip "Geekbench 5.5 Single-Core" "Geekbench 5.5 Multi-Core" "WebXPRT 3"
1 "AMD Ryzen Threadripper PRO 7995WX" "Storm Peak" 96MB + 384MB 350 2500 ‑ 5100 96/192 91.1 286 15842 1815 107681 56.9 29 7108 174189 1918 55811 349
2 "AMD Ryzen Threadripper PRO 3995WX" Matisse 32MB + 256MB 280 2700 ‑ 4200 64/128 63.5 195 9706 1249 61102 46.6 47.8 5021 140172 1720 14881 229
3 "Intel Core i9-14900K" "Raptor Lake" 32MB + 36MB 125 3200 ‑ 6000 24/32 77.5 332 6282 2351 41193 42n2 82.5n2 7772 149570 2306.5n2 25285n2 386n2
4 "AMD Ryzen 9 7950X" "Raphael (Zen 4)" 16MB + 64MB 170 4500 ‑ 5700 16/32 75.7 316n5 6095n5 2001n5 37353n5 43.55n10 86n21 8167n11 157469n11 2227n31 23903n31 377n7
5 "Intel Core i9-13900K" "Raptor Lake" 32MB + 36MB 125 3000 ‑ 5800 24/32 74.9 324n5 5959n5 2238.5n4 38271.5n4 40.7n5 84n5 7272n5 146984n5 2286n5 24033n5 368n5
6 "AMD Ryzen 9 7950X3D" "Raphael (Zen4)" 16MB + 128MB 120 4200 ‑ 5700 16/32 76.6 326 5974 2053 36291 42.4 86 8321 159341 2311 24343 383
7 "Intel Core i7-14700K" "Raptor Lake" 28MB + 33MB 125 2500 ‑ 5600 20/28 71.4 314 5459 2153 35892 36.8 91 7351 135648 2121 23159 339
8 "AMD Ryzen 9 7900X" "Raphael (Zen4)" 12MB + 64MB 170 4700 ‑ 5600 12/24 71.8 323n6 4820.5n6 2016.5n6 29300n6 36.85n6 106n6 8269n6 127195n6 2294n6 20667.5n6 383n6
9 "Intel Core i7-13700K" "Raptor Lake" 24MB + 30MB 125 3400 ‑ 5400 16/24 67.6 303n2 4507.5n2 2116n2 30745n2 33.85n2 108n2 7061.5n2 111390n2 2110n2 20190.5n2 348n2
10 "AMD Ryzen 9 7945HX3D" "Dragon Range-HX (Zen 4)" 16MB + 128MB 55 2300 ‑ 5400 16/32 72.7 311 5600 1935 32782 36.4 95 7573 136201 2133 19875 480
11 "AMD Ryzen 9 7945HX" "Dragon Range-HX (Zen 4)" 16MB + 64MB 55 2500 ‑ 5400 16/32 70 307n5 5541n5 1936n5 34202n5 36.15n4 93n5 7379n5 140471n5 2103n5 19583n5 351n4
12 "AMD Ryzen Threadripper PRO 3975WX" Matisse 16MB + 128MB 280 3500 ‑ 4200 32/64 60.4 201 7053 1286 42744 43 69.4 5140 141386 1285 28798 198
13 "Intel Core i9-13980HX" "Raptor Lake-HX" 32MB + 36MB 55 1600 ‑ 5600 24/32 67.4 304.5n10 4717n10 2110n9 30273n10 31.6n9 106n9 6972n9 119244n9 2099n9 20329n9 337n9
